trades,wins,losses,win_rate,tp_hits,sl_hits,long_trades,short_trades,avg_R,median_R,avg_win_R,avg_loss_R,expectancy_R,profit_factor,net_profit,return_pct,max_drawdown_abs,max_drawdown_pct,avg_drawdown_abs,equity_final,sharpe_R,avg_hold_bars,median_hold_bars,R_std,R_skew,R_kurtosis,R_95pct,R_05pct,CAGR,MAR,profit_per_trade,risk_of_ruin,ny_session_win_rate,zone_OB_trades,zone_OB_win_rate,bias_aligned_win_rate,displacement_atr_mult,sweep_lookback,cosd_prior_break_bars,rr_tp_alt,max_pullback_candles,variant_id,signals,trades_pct_of_signals
4,2,2,0.5,2,2,1,3,0.0244585811035421,-0.08299941818681356,1.048917162207084,1.0,0.024458581103542043,1.2727709269561347,29.754245597744443,5.950849119548884,-55.93538943675958,-10.558743021237191,-13.983847359189895,529.7542455977444,0.040904491722508214,1.0,1.0,1.1958873010556665,0.1106677614726951,-5.36449844612522,1.1993583612135819,-1.0,195.04209059734586,1847.2093714663808,7.438561399436111,0.9533641321072917,,4,0.5,,1.0,20,2,1.5,7,112,4,1.0
3,1,2,0.3333333333333333,1,2,3,0,-0.24538894640406816,-1.0,1.2638331607877955,1.0,-0.24538894640406828,0.7743341731832789,-25.638597412136235,-5.127719482427251,-56.80655723065934,-11.975375087592067,-18.935519076886447,474.3614025878637,-0.32518599513580076,3.0,4.0,1.307024684781235,1.7320508075688772,0.0,1.0374498447090157,-1.0,-0.9918240919280189,-8.282196462937252,-8.546199137378744,1.0,,3,0.3333333333333333,,1.0,15,1,2.0,3,5,3,1.0
3,1,2,0.3333333333333333,1,2,3,0,-0.24538894640406816,-1.0,1.2638331607877955,1.0,-0.24538894640406828,0.7743341731832789,-25.638597412136235,-5.127719482427251,-56.80655723065934,-11.975375087592067,-18.935519076886447,474.3614025878637,-0.32518599513580076,3.0,4.0,1.307024684781235,1.7320508075688772,0.0,1.0374498447090157,-1.0,-0.9918240919280189,-8.282196462937252,-8.546199137378744,1.0,,3,0.3333333333333333,,1.0,30,1,2.0,3,45,3,1.0
3,1,2,0.3333333333333333,1,2,3,0,-0.24538894640406816,-1.0,1.2638331607877955,1.0,-0.24538894640406828,0.7743341731832789,-25.638597412136235,-5.127719482427251,-56.80655723065934,-11.975375087592067,-18.935519076886447,474.3614025878637,-0.32518599513580076,3.0,4.0,1.307024684781235,1.7320508075688772,0.0,1.0374498447090157,-1.0,-0.9918240919280189,-8.282196462937252,-8.546199137378744,1.0,,3,0.3333333333333333,,1.0,30,1,1.5,3,59,3,1.0
3,1,2,0.3333333333333333,1,2,3,0,-0.24538894640406816,-1.0,1.2638331607877955,1.0,-0.24538894640406828,0.7743341731832789,-25.638597412136235,-5.127719482427251,-56.80655723065934,-11.975375087592067,-18.935519076886447,474.3614025878637,-0.32518599513580076,3.0,4.0,1.307024684781235,1.7320508075688772,0.0,1.0374498447090157,-1.0,-0.9918240919280189,-8.282196462937252,-8.546199137378744,1.0,,3,0.3333333333333333,,1.0,30,1,2.5,7,64,3,1.0
3,1,2,0.3333333333333333,1,2,3,0,-0.24538894640406816,-1.0,1.2638331607877955,1.0,-0.24538894640406828,0.7743341731832789,-25.638597412136235,-5.127719482427251,-56.80655723065934,-11.975375087592067,-18.935519076886447,474.3614025878637,-0.32518599513580076,3.0,4.0,1.307024684781235,1.7320508075688772,0.0,1.0374498447090157,-1.0,-0.9918240919280189,-8.282196462937252,-8.546199137378744,1.0,,3,0.3333333333333333,,1.0,30,1,2.0,7,93,3,1.0
3,1,2,0.3333333333333333,1,2,3,0,-0.24538894640406816,-1.0,1.2638331607877955,1.0,-0.24538894640406828,0.7743341731832789,-25.638597412136235,-5.127719482427251,-56.80655723065934,-11.975375087592067,-18.935519076886447,474.3614025878637,-0.32518599513580076,3.0,4.0,1.307024684781235,1.7320508075688772,0.0,1.0374498447090157,-1.0,-0.9918240919280189,-8.282196462937252,-8.546199137378744,1.0,,3,0.3333333333333333,,1.0,30,1,1.5,5,100,3,1.0
3,1,2,0.3333333333333333,1,2,3,0,-0.24538894640406816,-1.0,1.2638331607877955,1.0,-0.24538894640406828,0.7743341731832789,-25.638597412136235,-5.127719482427251,-56.80655723065934,-11.975375087592067,-18.935519076886447,474.3614025878637,-0.32518599513580076,3.0,4.0,1.307024684781235,1.7320508075688772,0.0,1.0374498447090157,-1.0,-0.9918240919280189,-8.282196462937252,-8.546199137378744,1.0,,3,0.3333333333333333,,1.0,15,1,2.5,3,101,3,1.0
3,1,2,0.3333333333333333,1,2,3,0,-0.24538894640406816,-1.0,1.2638331607877955,1.0,-0.24538894640406828,0.7743341731832789,-25.638597412136235,-5.127719482427251,-56.80655723065934,-11.975375087592067,-18.935519076886447,474.3614025878637,-0.32518599513580076,3.0,4.0,1.307024684781235,1.7320508075688772,0.0,1.0374498447090157,-1.0,-0.9918240919280189,-8.282196462937252,-8.546199137378744,1.0,,3,0.3333333333333333,,1.0,30,1,1.5,7,116,3,1.0
3,1,2,0.3333333333333333,1,2,3,0,-0.24538894640406816,-1.0,1.2638331607877955,1.0,-0.24538894640406828,0.7743341731832789,-25.638597412136235,-5.127719482427251,-56.80655723065934,-11.975375087592067,-18.935519076886447,474.3614025878637,-0.32518599513580076,3.0,4.0,1.307024684781235,1.7320508075688772,0.0,1.0374498447090157,-1.0,-0.9918240919280189,-8.282196462937252,-8.546199137378744,1.0,,3,0.3333333333333333,,1.0,30,1,2.5,5,119,3,1.0
4,1,3,0.25,1,3,3,1,-0.4340417098030511,-1.0,1.2638331607877955,1.0,-0.4340417098030511,0.5188752187519572,-81.57398684889581,-16.314797369779164,-112.74194666741892,-25.438541229973765,-48.57898337907869,418.42601315110414,-0.7669146601810677,2.5,2.5,1.1319165803938978,2.0,4.0000000000000036,0.9242581866696253,-1.0,-0.9999999135317109,-3.9310426824059763,-20.393496712223953,1.0,,4,0.25,,1.0,15,1,2.5,7,4,4,1.0
4,1,3,0.25,1,3,3,1,-0.4340417098030511,-1.0,1.2638331607877955,1.0,-0.4340417098030511,0.5188752187519572,-81.57398684889581,-16.314797369779164,-112.74194666741892,-25.438541229973765,-48.57898337907869,418.42601315110414,-0.7669146601810677,2.5,2.5,1.1319165803938978,2.0,4.0000000000000036,0.9242581866696253,-1.0,-0.9999999135317109,-3.9310426824059763,-20.393496712223953,1.0,,4,0.25,,1.0,15,1,1.5,5,15,4,1.0
4,1,3,0.25,1,3,3,1,-0.4340417098030511,-1.0,1.2638331607877955,1.0,-0.4340417098030511,0.5188752187519572,-81.57398684889581,-16.314797369779164,-112.74194666741892,-25.438541229973765,-48.57898337907869,418.42601315110414,-0.7669146601810677,2.5,2.5,1.1319165803938978,2.0,4.0000000000000036,0.9242581866696253,-1.0,-0.9999999135317109,-3.9310426824059763,-20.393496712223953,1.0,,4,0.25,,1.0,15,1,2.0,7,16,4,1.0
4,1,3,0.25,1,3,3,1,-0.4340417098030511,-1.0,1.2638331607877955,1.0,-0.4340417098030511,0.5188752187519572,-81.57398684889581,-16.314797369779164,-112.74194666741892,-25.438541229973765,-48.57898337907869,418.42601315110414,-0.7669146601810677,2.5,2.5,1.1319165803938978,2.0,4.0000000000000036,0.9242581866696253,-1.0,-0.9999999135317109,-3.9310426824059763,-20.393496712223953,1.0,,4,0.25,,1.0,15,1,1.5,7,23,4,1.0
4,1,3,0.25,1,3,3,1,-0.4340417098030511,-1.0,1.2638331607877955,1.0,-0.4340417098030511,0.5188752187519572,-81.57398684889581,-16.314797369779164,-112.74194666741892,-25.438541229973765,-48.57898337907869,418.42601315110414,-0.7669146601810677,2.5,2.5,1.1319165803938978,2.0,4.0000000000000036,0.9242581866696253,-1.0,-0.9999999135317109,-3.9310426824059763,-20.393496712223953,1.0,,4,0.25,,1.0,15,1,2.0,5,46,4,1.0
4,1,3,0.25,1,3,3,1,-0.4340417098030511,-1.0,1.2638331607877955,1.0,-0.4340417098030511,0.5275543137436395,-78.78464832451381,-15.756929664902763,-113.61311446131862,-25.4251114247265,-49.01456727602853,421.2153516754862,-0.7669146601810677,2.5,2.5,1.1319165803938978,2.0,4.0000000000000036,0.9242581866696253,-1.0,-0.9999998413863955,-3.9331188158092907,-19.696162081128453,1.0,,4,0.25,,1.0,20,1,2.5,3,108,4,1.0
